#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Escherichia coli O157:H7 str. Sakai	Sakai substr. RIMD 0509952	19668	SAMN01911278 	PRJNA226	Proteobacteria	Gammaproteobacteria	GCA_000008865.1 	5.59448	50.4477	chromosome:NC_002695.1/BA000007.2; plasmid pO157:NC_002128.1/AB011549.2; plasmid pOSAK1:NC_002127.1/AB011548.2	-	3	5446	5288	2001/03/07	2017/07/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.1_ASM886v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.1_ASM886v1
Escherichia coli IAI39	IAI39	19668	SAMEA3138234 	PRJNA33411	Proteobacteria	Gammaproteobacteria	GCA_000026345.1 	5.13207	50.6	chromosome:NC_011750.1/CU928164.2	-	1	5092	4725	2008/12/16	2016/08/28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1
Escherichia coli str. K-12 substr. MG1655	K-12 substr. MG1655	19668	SAMN02604091 	PRJNA225	Proteobacteria	Gammaproteobacteria	GCA_000005845.2 	4.64165	50.8	chromosome:NC_000913.3/U00096.3	-	1	4498	4140	1998/10/13	2016/08/08	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2
Escherichia coli O83:H1 str. NRG 857C	NRG 857C	19668	SAMN02603727 	PRJNA41221	Proteobacteria	Gammaproteobacteria	GCA_000183345.1 	4.89488	50.706	chromosome:NC_017634.1/CP001855.1; plasmid pO83_CORR:NC_017659.1/CP001856.1	-	2	4686	4578	2010/11/30	2017/03/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/345/GCF_000183345.1_ASM18334v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/345/GCA_000183345.1_ASM18334v1
Escherichia coli O104:H4 str. 2011C-3493	2011C-3493	19668	SAMN01831188 	PRJNA81095	Proteobacteria	Gammaproteobacteria	GCA_000299455.1 	5.43741	50.6346	chromosome:NC_018658.1/CP003289.1; plasmid pAA-EA11:NC_018666.1/CP003291.1; plasmid pESBL-EA11:NC_018659.1/CP003290.1; plasmid pG-EA11:NC_018660.1/CP003292.1	-	4	5258	5138	2012/09/27	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/455/GCF_000299455.1_ASM29945v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/455/GCA_000299455.1_ASM29945v1
Escherichia coli CFT073	CFT073	19668	SAMN02604094 	PRJNA313	Proteobacteria	Gammaproteobacteria	GCA_000007445.1 	5.23143	50.5	chromosome:NC_004431.1/AE014075.1	-	1	5421	4989	2002/12/06	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/445/GCF_000007445.1_ASM744v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/445/GCA_000007445.1_ASM744v1
Escherichia coli BL21(DE3)	BL21(DE3)	19668	SAMEA2272558 	PRJEA28965	Proteobacteria	Gammaproteobacteria	GCA_000009565.2 	4.55895	50.8	chromosome:NC_012892.2/AM946981.2	-	1	4700	4339	2009/06/30	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/565/GCF_000009565.1_ASM956v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/565/GCA_000009565.2_ASM956v1
Escherichia coli str. K-12 substr. W3110	K-12 substr. W3110	19668	SAMD00061081 	PRJNA16351	Proteobacteria	Gammaproteobacteria	GCA_000010245.1 	4.64633	50.8	chromosome:NC_007779.1/AP009048.1	-	1	4793	4471	2006/01/21	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/245/GCF_000010245.2_ASM1024v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/245/GCA_000010245.1_ASM1024v1
Escherichia coli SE11	SE11	19668	SAMD00061087 	PRJNA18057	Proteobacteria	Gammaproteobacteria	GCA_000010385.1 	5.15563	50.7481	chromosome:NC_011415.1/AP009240.1; plasmid pSE11-1:NC_011419.1/AP009241.1; plasmid pSE11-2:NC_011413.1/AP009242.1; plasmid pSE11-3:NC_011416.1/AP009243.1; plasmid pSE11-4:NC_011407.1/AP009244.1; plasmid pSE11-5:NC_011408.1/AP009245.1; plasmid pSE11-6:NC_011411.1/AP009246.1	-	7	5398	5059	2008/10/23	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/385/GCF_000010385.1_ASM1038v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/385/GCA_000010385.1_ASM1038v1
Escherichia coli SE15	SE15	19668	SAMD00060923 	PRJDA19053	Proteobacteria	Gammaproteobacteria	GCA_000010485.1 	4.83968	50.7076	chromosome:NC_013654.1/AP009378.1; plasmid pECSF1:NC_013655.1/AP009379.1	-	2	4941	4651	2009/12/15	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/485/GCF_000010485.1_ASM1048v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/485/GCA_000010485.1_ASM1048v1
